Gene_symbol	targetFromSourceId	Variant_type	Dataset	Disease	Total_alterations_over_subjects_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_over_primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_over_relapse_tumors_in_dataset	Frequency_in_relapse_tumors	Gene_full_name	PMTL	OncoKB_cancer_gene	OncoKB_oncogene_TSG	diseaseFromSourceMappedId	MONDO	datatypeId	chop_uuid	datasourceId
NIPAL3	ENSG00000001461	gain	GMKF	Neuroblastoma	11/191	5.76%	11/190	5.79%	0/0		NIPA like domain containing 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	5c184e95-a633-44c4-8fe2-e9525279f5cf	chop_gene_level_cnv
NIPAL3	ENSG00000001461	loss	GMKF	Neuroblastoma	33/191	17.28%	33/190	17.37%	0/0		NIPA like domain containing 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	903dfcd8-8332-4306-a3ba-0d39ecd61e0d	chop_gene_level_cnv
LAS1L	ENSG00000001497	gain	GMKF	Neuroblastoma	3/191	1.57%	3/190	1.58%	0/0		LAS1 like ribosome biogenesis factor		N		EFO_0000621	MONDO_0005072	somatic_mutation	3c5cedfc-15d0-42ce-9d86-7dc6bb113ccf	chop_gene_level_cnv
LAS1L	ENSG00000001497	loss	GMKF	Neuroblastoma	27/191	14.14%	26/190	13.68%	0/0		LAS1 like ribosome biogenesis factor		N		EFO_0000621	MONDO_0005072	somatic_mutation	0e40ec69-f6a7-45ac-b075-0d1fe3b16dfc	chop_gene_level_cnv
ENPP4	ENSG00000001561	gain	GMKF	Neuroblastoma	29/191	15.18%	29/190	15.26%	0/0		ectonucleotide pyrophosphatase/phosphodiesterase 4		N		EFO_0000621	MONDO_0005072	somatic_mutation	3b812864-0b1b-45e6-b73a-8cc42823307b	chop_gene_level_cnv
ENPP4	ENSG00000001561	loss	GMKF	Neuroblastoma	3/191	1.57%	3/190	1.58%	0/0		ectonucleotide pyrophosphatase/phosphodiesterase 4		N		EFO_0000621	MONDO_0005072	somatic_mutation	f6726afa-98ab-4167-a606-372d7d2e741e	chop_gene_level_cnv
SEMA3F	ENSG00000001617	loss	GMKF	Neuroblastoma	50/191	26.18%	50/190	26.32%	0/0		semaphorin 3F		N		EFO_0000621	MONDO_0005072	somatic_mutation	6ba46a73-19ba-4e0c-81ed-281fdc12368b	chop_gene_level_cnv
CFTR	ENSG00000001626	gain	GMKF	Neuroblastoma	85/191	44.50%	85/190	44.74%	0/0		CF transmembrane conductance regulator		N		EFO_0000621	MONDO_0005072	somatic_mutation	f651ffef-126d-403a-a6c6-ec4a67b4042b	chop_gene_level_cnv
ANKIB1	ENSG00000001629	gain	GMKF	Neuroblastoma	84/191	43.98%	84/190	44.21%	0/0		ankyrin repeat and IBR domain containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	77a83149-9fa4-4def-b107-3fbd309b9575	chop_gene_level_cnv
CYP51A1	ENSG00000001630	gain	GMKF	Neuroblastoma	84/191	43.98%	84/190	44.21%	0/0		cytochrome P450 family 51 subfamily A member 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	e841aa63-764e-4075-9e6d-ab258f681726	chop_gene_level_cnv
KRIT1	ENSG00000001631	gain	GMKF	Neuroblastoma	84/191	43.98%	84/190	44.21%	0/0		KRIT1 ankyrin repeat containing		N		EFO_0000621	MONDO_0005072	somatic_mutation	b37ac401-39c4-4ec9-a161-67b38158cbb3	chop_gene_level_cnv
RAD52	ENSG00000002016	gain	GMKF	Neuroblastoma	18/191	9.42%	18/190	9.47%	0/0		RAD52 homolog, DNA repair protein		Y		EFO_0000621	MONDO_0005072	somatic_mutation	3bef4ff5-dd55-42dc-b742-a3a78ebcbf11	chop_gene_level_cnv
RAD52	ENSG00000002016	loss	GMKF	Neuroblastoma	2/191	1.05%	2/190	1.05%	0/0		RAD52 homolog, DNA repair protein		Y		EFO_0000621	MONDO_0005072	somatic_mutation	6f83a48b-c796-4fbf-84a4-88301b69fad3	chop_gene_level_cnv
BAD	ENSG00000002330	amplification	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	ccb4315e-2189-4659-9b5b-5042716e22a1	chop_gene_level_cnv
BAD	ENSG00000002330	gain	GMKF	Neuroblastoma	12/191	6.28%	12/190	6.32%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	43e0aae1-63f5-4826-b04d-b398711f4cc4	chop_gene_level_cnv
BAD	ENSG00000002330	loss	GMKF	Neuroblastoma	34/191	17.80%	34/190	17.89%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	81314ae3-d130-4678-a474-8603e0545f3f	chop_gene_level_cnv
LAP3	ENSG00000002549	loss	GMKF	Neuroblastoma	29/191	15.18%	29/190	15.26%	0/0		leucine aminopeptidase 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	80dbfe71-7e45-490c-8968-6329ba970747	chop_gene_level_cnv
CD99	ENSG00000002586	deep deletion	GMKF	Neuroblastoma	10/191	5.24%	10/190	5.26%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	9506cb19-562d-47c9-8ca6-48efbf7c6ef6	chop_gene_level_cnv
CD99	ENSG00000002586	gain	GMKF	Neuroblastoma	2/191	1.05%	2/190	1.05%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	531b7f76-5b03-43d3-b55f-b0b3d61f7357	chop_gene_level_cnv
CD99	ENSG00000002586	loss	GMKF	Neuroblastoma	29/191	15.18%	29/190	15.26%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	895021a4-544a-4d00-8156-e3e9d7875556	chop_gene_level_cnv
HS3ST1	ENSG00000002587	gain	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		heparan sulfate-glucosamine 3-sulfotransferase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	11654079-d576-426b-8858-c2aaa0d8c8ca	chop_gene_level_cnv
HS3ST1	ENSG00000002587	loss	GMKF	Neuroblastoma	29/191	15.18%	29/190	15.26%	0/0		heparan sulfate-glucosamine 3-sulfotransferase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	0bb0959c-7d98-44e8-8f0f-d36f1620d374	chop_gene_level_cnv
AOC1	ENSG00000002726	gain	GMKF	Neuroblastoma	49/191	25.65%	49/190	25.79%	0/0		amine oxidase copper containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	63df17c3-389d-4600-9d07-44a5b37b4614	chop_gene_level_cnv
AOC1	ENSG00000002726	loss	GMKF	Neuroblastoma	1/191	0.52%	1/190	0.53%	0/0		amine oxidase copper containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	1d4179f4-e95a-4583-aaad-0ea20b5636b2	chop_gene_level_cnv
WNT16	ENSG00000002745	gain	GMKF	Neuroblastoma	86/191	45.03%	86/190	45.26%	0/0		Wnt family member 16		N		EFO_0000621	MONDO_0005072	somatic_mutation	2f516ac9-f248-45a9-ab98-3d29875f40c0	chop_gene_level_cnv
HECW1	ENSG00000002746	gain	GMKF	Neuroblastoma	75/191	39.27%	75/190	39.47%	0/0		HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	6acff662-3ba9-4ff9-a9fc-0250ca556df0	chop_gene_level_cnv
MAD1L1	ENSG00000002822	gain	GMKF	Neuroblastoma	40/191	20.94%	40/190	21.05%	0/0		mitotic arrest deficient 1 like 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	ed7ba7d0-45c7-41a4-821a-10740b309aae	chop_gene_level_cnv
MAD1L1	ENSG00000002822	loss	GMKF	Neuroblastoma	2/191	1.05%	2/190	1.05%	0/0		mitotic arrest deficient 1 like 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	93a9ec32-7b86-447e-ad9e-879c6f9a6c73	chop_gene_level_cnv
LASP1	ENSG00000002834	gain	GMKF	Neuroblastoma	64/191	33.51%	64/190	33.68%	0/0		LIM and SH3 protein 1		Y		EFO_0000621	MONDO_0005072	somatic_mutation	6d439557-1ee7-4584-9584-7f6340adc359	chop_gene_level_cnv
