Gene_symbol	targetFromSourceId	Variant_type	Dataset	Disease	Total_alterations_over_subjects_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_over_primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_over_relapse_tumors_in_dataset	Frequency_in_relapse_tumors	Gene_full_name	PMTL	OncoKB_cancer_gene	OncoKB_oncogene_TSG	diseaseFromSourceMappedId	MONDO	datatypeId	chop_uuid	datasourceId
FGR	ENSG00000000938	gain	GMKF	Neuroblastoma	13/171	7.60%	13/171	7.60%	0/0		FGR proto-oncogene, Src family tyrosine kinase		N		EFO_0000621	MONDO_0005072	somatic_mutation	9bf48ee3-d845-4b1d-8e87-c931b8561092	chop_gene_level_cnv
FGR	ENSG00000000938	loss	GMKF	Neuroblastoma	28/171	16.37%	28/171	16.37%	0/0		FGR proto-oncogene, Src family tyrosine kinase		N		EFO_0000621	MONDO_0005072	somatic_mutation	3c6c53f2-5045-423f-8153-37199f4608dc	chop_gene_level_cnv
CFH	ENSG00000000971	gain	GMKF	Neuroblastoma	30/171	17.54%	30/171	17.54%	0/0		complement factor H		N		EFO_0000621	MONDO_0005072	somatic_mutation	a4bc4270-1d55-4c9d-b160-8c95b2bc6793	chop_gene_level_cnv
FUCA2	ENSG00000001036	gain	GMKF	Neuroblastoma	26/171	15.20%	26/171	15.20%	0/0		alpha-L-fucosidase 2		N		EFO_0000621	MONDO_0005072	somatic_mutation	8990b2f8-a3b6-4959-a353-30a539ff1fdf	chop_gene_level_cnv
FUCA2	ENSG00000001036	loss	GMKF	Neuroblastoma	7/171	4.09%	7/171	4.09%	0/0		alpha-L-fucosidase 2		N		EFO_0000621	MONDO_0005072	somatic_mutation	738d71a3-c15a-460c-9755-a6721a909f97	chop_gene_level_cnv
GCLC	ENSG00000001084	gain	GMKF	Neuroblastoma	28/171	16.37%	28/171	16.37%	0/0		glutamate-cysteine ligase catalytic subunit		N		EFO_0000621	MONDO_0005072	somatic_mutation	515687be-132f-49db-815a-fafdeab97d19	chop_gene_level_cnv
GCLC	ENSG00000001084	loss	GMKF	Neuroblastoma	3/171	1.75%	3/171	1.75%	0/0		glutamate-cysteine ligase catalytic subunit		N		EFO_0000621	MONDO_0005072	somatic_mutation	9ce8d504-8a88-4bfd-bc98-cbc6451224af	chop_gene_level_cnv
NFYA	ENSG00000001167	gain	GMKF	Neuroblastoma	23/171	13.45%	23/171	13.45%	0/0		nuclear transcription factor Y subunit alpha		N		EFO_0000621	MONDO_0005072	somatic_mutation	a1fdac91-4774-4eca-a98a-8e09723c4b35	chop_gene_level_cnv
NFYA	ENSG00000001167	loss	GMKF	Neuroblastoma	3/171	1.75%	3/171	1.75%	0/0		nuclear transcription factor Y subunit alpha		N		EFO_0000621	MONDO_0005072	somatic_mutation	4b45563f-7830-435f-b7ab-a4de164c1c39	chop_gene_level_cnv
STPG1	ENSG00000001460	gain	GMKF	Neuroblastoma	11/171	6.43%	11/171	6.43%	0/0		sperm tail PG-rich repeat containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	8566476f-9b34-4b9f-9717-826f13b6de58	chop_gene_level_cnv
STPG1	ENSG00000001460	loss	GMKF	Neuroblastoma	30/171	17.54%	30/171	17.54%	0/0		sperm tail PG-rich repeat containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	7c18a7cd-de18-4274-8dd2-b3d255a74e97	chop_gene_level_cnv
NIPAL3	ENSG00000001461	gain	GMKF	Neuroblastoma	11/171	6.43%	11/171	6.43%	0/0		NIPA like domain containing 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	384f9812-3498-4230-8a43-39496eaa64f0	chop_gene_level_cnv
NIPAL3	ENSG00000001461	loss	GMKF	Neuroblastoma	30/171	17.54%	30/171	17.54%	0/0		NIPA like domain containing 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	ac04aece-6811-467f-b48f-8e8f5e24da0d	chop_gene_level_cnv
LAS1L	ENSG00000001497	gain	GMKF	Neuroblastoma	3/171	1.75%	3/171	1.75%	0/0		LAS1 like ribosome biogenesis factor		N		EFO_0000621	MONDO_0005072	somatic_mutation	2047f32d-a907-4e5f-b7d1-27c26aeb3942	chop_gene_level_cnv
LAS1L	ENSG00000001497	loss	GMKF	Neuroblastoma	25/171	14.62%	25/171	14.62%	0/0		LAS1 like ribosome biogenesis factor		N		EFO_0000621	MONDO_0005072	somatic_mutation	03269867-8021-404e-92a7-ad02a05d0c89	chop_gene_level_cnv
ENPP4	ENSG00000001561	gain	GMKF	Neuroblastoma	28/171	16.37%	28/171	16.37%	0/0		ectonucleotide pyrophosphatase/phosphodiesterase 4		N		EFO_0000621	MONDO_0005072	somatic_mutation	6c08a668-3238-40c7-bb05-c4606a5fbaf1	chop_gene_level_cnv
ENPP4	ENSG00000001561	loss	GMKF	Neuroblastoma	3/171	1.75%	3/171	1.75%	0/0		ectonucleotide pyrophosphatase/phosphodiesterase 4		N		EFO_0000621	MONDO_0005072	somatic_mutation	887625ed-99bb-4986-aa86-13d7c45062a1	chop_gene_level_cnv
SEMA3F	ENSG00000001617	loss	GMKF	Neuroblastoma	46/171	26.90%	46/171	26.90%	0/0		semaphorin 3F		N		EFO_0000621	MONDO_0005072	somatic_mutation	3597a740-8772-44b5-8599-5e1b52f24ce5	chop_gene_level_cnv
CFTR	ENSG00000001626	gain	GMKF	Neuroblastoma	79/171	46.20%	79/171	46.20%	0/0		CF transmembrane conductance regulator		N		EFO_0000621	MONDO_0005072	somatic_mutation	f9d43afd-7cc6-4c48-8fb1-6595ef380148	chop_gene_level_cnv
ANKIB1	ENSG00000001629	gain	GMKF	Neuroblastoma	78/171	45.61%	78/171	45.61%	0/0		ankyrin repeat and IBR domain containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	7dfaee61-5f79-4891-b677-3f0f82b17ae6	chop_gene_level_cnv
CYP51A1	ENSG00000001630	gain	GMKF	Neuroblastoma	78/171	45.61%	78/171	45.61%	0/0		cytochrome P450 family 51 subfamily A member 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	237d93d3-5333-4563-94b8-1a5f2773b2b5	chop_gene_level_cnv
KRIT1	ENSG00000001631	gain	GMKF	Neuroblastoma	78/171	45.61%	78/171	45.61%	0/0		KRIT1 ankyrin repeat containing		N		EFO_0000621	MONDO_0005072	somatic_mutation	baf46171-be2b-4079-bfe7-6d590dede1f1	chop_gene_level_cnv
RAD52	ENSG00000002016	gain	GMKF	Neuroblastoma	18/171	10.53%	18/171	10.53%	0/0		RAD52 homolog, DNA repair protein		Y		EFO_0000621	MONDO_0005072	somatic_mutation	055c965b-4bf9-427c-b2c4-1ac71e8dc536	chop_gene_level_cnv
RAD52	ENSG00000002016	loss	GMKF	Neuroblastoma	2/171	1.17%	2/171	1.17%	0/0		RAD52 homolog, DNA repair protein		Y		EFO_0000621	MONDO_0005072	somatic_mutation	a2bf7b5d-abe7-48a1-9d61-64bd69e9ba22	chop_gene_level_cnv
BAD	ENSG00000002330	amplification	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	f0762040-4b72-4833-a466-3fcfa195106f	chop_gene_level_cnv
BAD	ENSG00000002330	gain	GMKF	Neuroblastoma	9/171	5.26%	9/171	5.26%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	42938aad-f764-479b-a02c-862d6e1cebcf	chop_gene_level_cnv
BAD	ENSG00000002330	loss	GMKF	Neuroblastoma	34/171	19.88%	34/171	19.88%	0/0		BCL2 associated agonist of cell death		N		EFO_0000621	MONDO_0005072	somatic_mutation	a88f8afd-7b5c-4a9c-8842-1daf09b6a4f4	chop_gene_level_cnv
LAP3	ENSG00000002549	loss	GMKF	Neuroblastoma	26/171	15.20%	26/171	15.20%	0/0		leucine aminopeptidase 3		N		EFO_0000621	MONDO_0005072	somatic_mutation	9a9fa73c-81a4-41d7-ac7a-406d1eda2df8	chop_gene_level_cnv
CD99	ENSG00000002586	deep deletion	GMKF	Neuroblastoma	9/171	5.26%	9/171	5.26%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	4c38d850-7ddb-4f64-8a73-dd49d7f453d5	chop_gene_level_cnv
CD99	ENSG00000002586	gain	GMKF	Neuroblastoma	2/171	1.17%	2/171	1.17%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	0dd48f0a-b08e-456a-8aed-d78e9b3234f6	chop_gene_level_cnv
CD99	ENSG00000002586	loss	GMKF	Neuroblastoma	26/171	15.20%	26/171	15.20%	0/0		CD99 molecule (Xg blood group)		N		EFO_0000621	MONDO_0005072	somatic_mutation	833c11ce-459e-451f-9535-3331ad3ac8f6	chop_gene_level_cnv
HS3ST1	ENSG00000002587	gain	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		heparan sulfate-glucosamine 3-sulfotransferase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	38f40380-3f7b-4a26-9e2c-6348d3500cf7	chop_gene_level_cnv
HS3ST1	ENSG00000002587	loss	GMKF	Neuroblastoma	26/171	15.20%	26/171	15.20%	0/0		heparan sulfate-glucosamine 3-sulfotransferase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	80273702-8b6e-421d-9bb9-54d8f3e021ee	chop_gene_level_cnv
AOC1	ENSG00000002726	gain	GMKF	Neuroblastoma	46/171	26.90%	46/171	26.90%	0/0		amine oxidase copper containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	37a8103c-f005-478f-9bba-73d3ef532649	chop_gene_level_cnv
AOC1	ENSG00000002726	loss	GMKF	Neuroblastoma	1/171	0.58%	1/171	0.58%	0/0		amine oxidase copper containing 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	22df1759-432d-40e3-b7be-44ec6eea12bb	chop_gene_level_cnv
WNT16	ENSG00000002745	gain	GMKF	Neuroblastoma	80/171	46.78%	80/171	46.78%	0/0		Wnt family member 16		N		EFO_0000621	MONDO_0005072	somatic_mutation	a55ac204-e838-4989-a165-22cd59f0e163	chop_gene_level_cnv
HECW1	ENSG00000002746	gain	GMKF	Neuroblastoma	69/171	40.35%	69/171	40.35%	0/0		HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	5071b737-5ee0-4921-b558-f0dd0dcfd872	chop_gene_level_cnv
MAD1L1	ENSG00000002822	gain	GMKF	Neuroblastoma	39/171	22.81%	39/171	22.81%	0/0		mitotic arrest deficient 1 like 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	6334ef30-5c31-42eb-8268-ea9ff92c86fe	chop_gene_level_cnv
MAD1L1	ENSG00000002822	loss	GMKF	Neuroblastoma	2/171	1.17%	2/171	1.17%	0/0		mitotic arrest deficient 1 like 1		N		EFO_0000621	MONDO_0005072	somatic_mutation	40309230-d491-43a1-8077-6d5888684de6	chop_gene_level_cnv
LASP1	ENSG00000002834	gain	GMKF	Neuroblastoma	63/171	36.84%	63/171	36.84%	0/0		LIM and SH3 protein 1		Y		EFO_0000621	MONDO_0005072	somatic_mutation	7049c116-0915-4ce8-b10e-407a7170155a	chop_gene_level_cnv
