Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000001497	81887	LAS1L	protein_coding	HGNC Symbol	5	"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"	0.03	-0.10	0.17	0.63	0.82	-0.16	-0.30	-0.02	0.02	0.05	0.04	-0.12	0.19	0.63	0.69	-0.16	-0.27	-0.04	0.01	0.01	
ENSG00000001561	22875	ENPP4	protein_coding	HGNC Symbol	1	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	0.46	0.12	0.79	0.01	0.06	0.08	-0.20	0.36	0.57	0.68	1.02	0.66	1.39	0.00	0.00	0.65	0.40	0.89	0.00	0.00	
ENSG00000001617	6405	SEMA3F	protein_coding	HGNC Symbol	9	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	-0.07	-0.47	0.33	0.73	0.88	-1.00	-1.52	-0.47	0.00	0.00	-1.48	-1.99	-0.97	0.00	0.00	-2.41	-2.83	-1.98	0.00	0.00	
ENSG00000001626	1080	CFTR	protein_coding	HGNC Symbol	11	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	1.08	0.23	1.94	0.01	0.09	-0.90	-1.81	0.01	0.05	0.11	0.46	-0.54	1.46	0.35	0.43	-1.52	-2.26	-0.78	0.00	0.00	
ENSG00000001629	54467	ANKIB1	protein_coding	HGNC Symbol	7	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	0.08	-0.03	0.20	0.15	0.38	-0.30	-0.42	-0.18	0.00	0.00	0.19	0.05	0.32	0.01	0.01	-0.20	-0.29	-0.10	0.00	0.00	
ENSG00000001630	1595	CYP51A1	protein_coding	HGNC Symbol	5	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	0.27	-0.08	0.62	0.13	0.35	0.27	-0.12	0.65	0.17	0.27	-0.44	-0.87	-0.01	0.04	0.07	-0.45	-0.75	-0.15	0.01	0.01	
ENSG00000001631	889	KRIT1	protein_coding	HGNC Symbol	24	"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"	-0.01	-0.14	0.11	0.82	0.92	-0.11	-0.24	0.01	0.07	0.14	0.43	0.29	0.58	0.00	0.00	0.33	0.22	0.44	0.00	0.00	
ENSG00000002016	5893	RAD52	protein_coding	HGNC Symbol	19	"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"	-0.18	-0.49	0.13	0.23	0.49	-0.15	-0.42	0.13	0.28	0.40	0.69	0.36	1.02	0.00	0.00	0.73	0.48	0.98	0.00	0.00	
ENSG00000002330	572	BAD	protein_coding	HGNC Symbol	7	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	-0.28	-0.56	0.00	0.05	0.19	-0.18	-0.45	0.08	0.17	0.27	0.30	-0.01	0.60	0.06	0.09	0.39	0.16	0.63	0.00	0.00	
ENSG00000002549	51056	LAP3	protein_coding	HGNC Symbol	11	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	0.00	-0.16	0.16	0.98	0.99	-0.09	-0.25	0.07	0.25	0.37	0.28	0.09	0.46	0.00	0.01	0.19	0.05	0.32	0.01	0.01	
ENSG00000002586	4267	CD99	protein_coding	HGNC Symbol	12	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	-0.43	-0.72	-0.14	0.01	0.04	0.89	0.61	1.17	0.00	0.00	0.17	-0.16	0.49	0.30	0.37	1.49	1.25	1.72	0.00	0.00	
ENSG00000002587	9957	HS3ST1	protein_coding	HGNC Symbol	3	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	-0.11	-0.77	0.56	0.74	0.89	1.25	0.33	2.17	0.01	0.03	-1.69	-2.65	-0.72	0.00	0.00	-0.33	-0.93	0.26	0.26	0.31	
ENSG00000002746	23072	HECW1	protein_coding	HGNC Symbol	11	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"	-0.23	-0.57	0.11	0.18	0.42	0.55	-0.01	1.12	0.06	0.11	-2.46	-3.01	-1.91	0.00	0.00	-1.67	-2.04	-1.30	0.00	0.00	
ENSG00000002822	8379	MAD1L1	protein_coding	HGNC Symbol	23	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	-0.15	-0.28	-0.02	0.02	0.11	0.00	-0.13	0.13	1.00	1.00	0.37	0.22	0.52	0.00	0.00	0.52	0.42	0.63	0.00	0.00	
ENSG00000002834	3927	LASP1	protein_coding	HGNC Symbol	9	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	-0.28	-0.48	-0.07	0.01	0.06	0.23	0.02	0.44	0.03	0.07	-0.64	-0.88	-0.40	0.00	0.00	-0.13	-0.30	0.04	0.14	0.17	
ENSG00000002919	29916	SNX11	protein_coding	HGNC Symbol	13	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	-0.06	-0.25	0.13	0.49	0.73	0.12	-0.06	0.31	0.18	0.29	0.21	0.00	0.43	0.05	0.08	0.40	0.25	0.56	0.00	0.00	
ENSG00000003056	4074	M6PR	protein_coding	HGNC Symbol	13	"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"	0.10	-0.13	0.33	0.38	0.63	-0.20	-0.44	0.04	0.09	0.17	0.45	0.18	0.71	0.00	0.00	0.15	-0.05	0.34	0.13	0.17	
ENSG00000003096	90293	KLHL13	protein_coding	HGNC Symbol	9	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	1.06	0.85	1.28	0.00	0.00	1.31	1.13	1.49	0.00	0.00	0.77	0.53	1.02	0.00	0.00	1.02	0.88	1.16	0.00	0.00	
ENSG00000003137	56603	CYP26B1	protein_coding	HGNC Symbol	5	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	-0.28	-1.39	0.84	0.61	0.81	1.88	0.87	2.89	0.00	0.00	-0.11	-1.39	1.16	0.86	0.89	2.05	1.24	2.85	0.00	0.00	
ENSG00000003147	3382	ICA1	protein_coding	HGNC Symbol	18	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	-0.06	-0.36	0.23	0.67	0.84	0.62	0.25	1.00	0.00	0.01	-1.41	-1.80	-1.01	0.00	0.00	-0.72	-0.99	-0.45	0.00	0.00	
ENSG00000003249	79007	DBNDD1	protein_coding	HGNC Symbol	7	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	-0.63	-0.90	-0.36	0.00	0.00	-0.58	-0.99	-0.18	0.01	0.02	-2.45	-2.82	-2.07	0.00	0.00	-2.40	-2.71	-2.09	0.00	0.00	
ENSG00000003393	57679	ALS2	protein_coding	HGNC Symbol	12	"ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]"	0.03	-0.11	0.16	0.69	0.86	0.11	-0.03	0.25	0.12	0.21	0.02	-0.13	0.18	0.76	0.81	0.11	-0.01	0.22	0.07	0.09	
ENSG00000003400	843	CASP10	protein_coding	HGNC Symbol	13	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	-0.45	-0.81	-0.09	0.02	0.09	-1.17	-1.63	-0.70	0.00	0.00	-0.72	-1.16	-0.29	0.00	0.00	-1.44	-1.83	-1.04	0.00	0.00	
ENSG00000003402	8837	CFLAR	protein_coding	HGNC Symbol	25	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	-0.47	-0.79	-0.16	0.00	0.04	-0.63	-0.89	-0.36	0.00	0.00	0.94	0.62	1.26	0.00	0.00	0.78	0.52	1.04	0.00	0.00	
ENSG00000003436	7035	TFPI	protein_coding	HGNC Symbol	12	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	0.47	-0.98	1.93	0.51	0.74	-2.34	-3.06	-1.61	0.00	0.00	5.08	3.75	6.41	0.00	0.00	2.27	1.34	3.21	0.00	0.00	
ENSG00000003509	55471	NDUFAF7	protein_coding	HGNC Symbol	13	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	-0.31	-0.52	-0.09	0.01	0.05	-0.14	-0.39	0.12	0.29	0.41	-1.15	-1.41	-0.88	0.00	0.00	-0.98	-1.18	-0.78	0.00	0.00	
ENSG00000003756	10181	RBM5	protein_coding	HGNC Symbol	26	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	0.05	-0.14	0.25	0.58	0.79	0.03	-0.16	0.22	0.76	0.83	0.95	0.73	1.17	0.00	0.00	0.92	0.76	1.08	0.00	0.00	
ENSG00000003987	9108	MTMR7	protein_coding	HGNC Symbol	9	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	0.44	0.24	0.64	0.00	0.00	-0.15	-0.35	0.04	0.12	0.21	0.29	0.06	0.52	0.02	0.03	-0.31	-0.47	-0.15	0.00	0.00	
ENSG00000003989	6542	SLC7A2	protein_coding	HGNC Symbol	6	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	0.22	0.00	0.43	0.05	0.19	-0.14	-0.38	0.09	0.22	0.33	-0.90	-1.16	-0.64	0.00	0.00	-1.26	-1.45	-1.07	0.00	0.00	
ENSG00000004059	381	ARF5	protein_coding	HGNC Symbol	6	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	-0.05	-0.25	0.15	0.63	0.82	-0.53	-0.73	-0.33	0.00	0.00	0.65	0.42	0.88	0.00	0.00	0.17	0.00	0.33	0.05	0.07	
ENSG00000004139	23098	SARM1	protein_coding	HGNC Symbol	8	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	-0.06	-0.57	0.44	0.80	0.92	0.78	0.37	1.20	0.00	0.00	0.70	0.16	1.24	0.01	0.02	1.54	1.17	1.91	0.00	0.00	
ENSG00000004142	26073	POLDIP2	protein_coding	HGNC Symbol	2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	-0.04	-0.17	0.09	0.54	0.76	0.01	-0.12	0.14	0.84	0.89	-0.14	-0.29	0.01	0.06	0.09	-0.09	-0.20	0.02	0.10	0.13	
ENSG00000004399	23129	PLXND1	protein_coding	HGNC Symbol	17	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	0.07	-0.22	0.35	0.64	0.82	0.00	-0.30	0.30	0.98	0.99	-0.75	-1.08	-0.41	0.00	0.00	-0.82	-1.06	-0.57	0.00	0.00	
ENSG00000004455	204	AK2	protein_coding	HGNC Symbol	15	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	0.06	-0.22	0.35	0.65	0.84	0.78	0.48	1.07	0.00	0.00	-0.38	-0.71	-0.04	0.03	0.05	0.34	0.10	0.58	0.01	0.01	
ENSG00000004468	952	CD38	protein_coding	HGNC Symbol	5	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	0.34	-0.34	1.03	0.32	0.58	0.16	-0.78	1.09	0.73	0.81	-1.28	-2.22	-0.33	0.01	0.02	-1.46	-2.13	-0.79	0.00	0.00	
ENSG00000004478	2288	FKBP4	protein_coding	HGNC Symbol	8	FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]	-0.14	-0.34	0.07	0.18	0.42	-0.53	-0.74	-0.32	0.00	0.00	-0.12	-0.36	0.11	0.29	0.36	-0.52	-0.69	-0.34	0.00	0.00	
ENSG00000004487	23028	KDM1A	protein_coding	HGNC Symbol	6	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	0.00	-0.20	0.20	0.97	0.99	0.44	0.24	0.65	0.00	0.00	-0.14	-0.37	0.10	0.24	0.31	0.31	0.14	0.48	0.00	0.00	
ENSG00000004534	10180	RBM6	protein_coding	HGNC Symbol	20	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	-0.25	-0.41	-0.09	0.00	0.03	-0.05	-0.21	0.12	0.56	0.67	-0.08	-0.27	0.10	0.36	0.43	0.12	-0.01	0.25	0.08	0.10	
ENSG00000004660	84254	CAMKK1	protein_coding	HGNC Symbol	4	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	0.10	-0.10	0.29	0.31	0.57	0.05	-0.20	0.31	0.67	0.77	-1.18	-1.44	-0.92	0.00	0.00	-1.23	-1.41	-1.04	0.00	0.00	
ENSG00000004700	5965	RECQL	protein_coding	HGNC Symbol	8	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	-0.16	-0.33	0.01	0.07	0.24	0.07	-0.10	0.24	0.42	0.54	0.05	-0.15	0.24	0.64	0.70	0.28	0.13	0.42	0.00	0.00	
ENSG00000004766	55610	VPS50	protein_coding	HGNC Symbol	20	"VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]"	0.08	-0.07	0.24	0.28	0.54	0.07	-0.08	0.21	0.36	0.49	0.44	0.26	0.61	0.00	0.00	0.42	0.29	0.54	0.00	0.00	
ENSG00000004777	115703	ARHGAP33	protein_coding	HGNC Symbol	13	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	0.44	-0.01	0.89	0.06	0.21	2.28	1.71	2.84	0.00	0.00	-1.38	-2.02	-0.74	0.00	0.00	0.45	0.12	0.79	0.01	0.02	
ENSG00000004779	4706	NDUFAB1	protein_coding	HGNC Symbol	5	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	-0.56	-0.83	-0.30	0.00	0.00	-0.18	-0.46	0.10	0.20	0.31	-0.60	-0.91	-0.30	0.00	0.00	-0.22	-0.45	0.01	0.06	0.08	
ENSG00000004838	51364	ZMYND10	protein_coding	HGNC Symbol	9	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	-0.58	-1.33	0.17	0.12	0.34	0.90	0.23	1.58	0.01	0.03	0.04	-0.78	0.86	0.92	0.94	1.52	0.94	2.11	0.00	0.00	
ENSG00000004846	340273	ABCB5	protein_coding	HGNC Symbol	6	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	0.16	-1.02	1.34	0.78	0.91	-0.41	-1.42	0.61	0.42	0.54	1.02	-0.23	2.27	0.11	0.15	0.45	-0.48	1.38	0.33	0.38	
ENSG00000004864	10165	SLC25A13	protein_coding	HGNC Symbol	8	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	0.13	-0.05	0.30	0.14	0.37	-0.22	-0.40	-0.04	0.02	0.04	0.56	0.36	0.77	0.00	0.00	0.21	0.07	0.36	0.01	0.01	
ENSG00000004866	93655	ST7	protein_coding	HGNC Symbol	30	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	0.06	-0.24	0.36	0.68	0.85	0.79	0.46	1.13	0.00	0.00	-0.62	-0.99	-0.24	0.00	0.00	0.11	-0.13	0.36	0.35	0.40	
ENSG00000004866	7982	ST7	protein_coding	HGNC Symbol	30	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	0.06	-0.24	0.36	0.68	0.85	0.79	0.46	1.13	0.00	0.00	-0.62	-0.99	-0.24	0.00	0.00	0.11	-0.13	0.36	0.35	0.40	
ENSG00000004897	996	CDC27	protein_coding	HGNC Symbol	19	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	0.20	0.07	0.33	0.00	0.03	0.32	0.19	0.45	0.00	0.00	0.28	0.13	0.43	0.00	0.00	0.40	0.29	0.51	0.00	0.00	
ENSG00000004948	799	CALCR	protein_coding	HGNC Symbol	7	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	-0.42	-1.32	0.47	0.34	0.60	1.90	0.54	3.26	0.01	0.02	-2.69	-4.09	-1.30	0.00	0.00	-0.37	-1.20	0.46	0.37	0.42	
ENSG00000004961	3052	HCCS	protein_coding	HGNC Symbol	3	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	-0.02	-0.26	0.22	0.85	0.94	-0.02	-0.26	0.21	0.84	0.89	0.21	-0.06	0.48	0.13	0.18	0.20	0.01	0.40	0.04	0.06	
ENSG00000004975	1856	DVL2	protein_coding	HGNC Symbol	15	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	-0.04	-0.22	0.15	0.70	0.86	-0.12	-0.31	0.07	0.22	0.33	0.74	0.53	0.96	0.00	0.00	0.66	0.50	0.82	0.00	0.00	
ENSG00000005001	64063	PRSS22	protein_coding	HGNC Symbol	8	"protease, serine 22 [Source:HGNC Symbol;Acc:HGNC:14368]"	-0.11	-0.62	0.41	0.68	0.85	-0.99	-2.28	0.31	0.13	0.22	-4.37	-5.47	-3.27	0.00	0.00	-5.25	-6.10	-4.40	0.00	0.00	
ENSG00000005007	5976	UPF1	protein_coding	HGNC Symbol	13	"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]"	-0.13	-0.29	0.04	0.13	0.34	-0.04	-0.21	0.13	0.67	0.76	-0.34	-0.54	-0.15	0.00	0.00	-0.25	-0.39	-0.11	0.00	0.00	
ENSG00000005020	8935	SKAP2	protein_coding	HGNC Symbol	9	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	0.08	-0.29	0.44	0.67	0.84	1.34	1.01	1.67	0.00	0.00	0.17	-0.24	0.58	0.41	0.48	1.43	1.17	1.69	0.00	0.00	
ENSG00000005022	292	SLC25A5	protein_coding	HGNC Symbol	4	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	-0.13	-0.37	0.10	0.25	0.50	-0.15	-0.39	0.09	0.20	0.31	-1.17	-1.44	-0.90	0.00	0.00	-1.18	-1.38	-0.99	0.00	0.00	
ENSG00000005059	55013	MCUB	protein_coding	HGNC Symbol	5	mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]	0.07	-0.25	0.39	0.67	0.84	1.35	1.05	1.65	0.00	0.00	0.05	-0.32	0.42	0.77	0.82	1.33	1.09	1.57	0.00	0.00	
ENSG00000005075	5439	POLR2J	protein_coding	HGNC Symbol	2	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	-0.01	-0.20	0.19	0.93	0.97	-0.08	-0.27	0.12	0.43	0.56	0.10	-0.12	0.33	0.35	0.42	0.04	-0.13	0.20	0.65	0.70	
ENSG00000005100	56919	DHX33	protein_coding	HGNC Symbol	5	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]	-0.10	-0.27	0.08	0.26	0.51	-0.12	-0.30	0.06	0.18	0.29	-0.49	-0.70	-0.29	0.00	0.00	-0.52	-0.66	-0.37	0.00	0.00	
ENSG00000005102	4222	MEOX1	protein_coding	HGNC Symbol	4	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	0.43	-1.38	2.24	0.63	0.82	0.95	-0.19	2.10	0.10	0.18	3.14	1.37	4.92	0.00	0.00	3.67	2.47	4.87	0.00	0.00	
ENSG00000005108	221981	THSD7A	protein_coding	HGNC Symbol	5	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	1.34	0.77	1.90	0.00	0.00	0.12	-0.50	0.75	0.69	0.78	-0.08	-0.79	0.63	0.81	0.85	-1.30	-1.75	-0.84	0.00	0.00	
ENSG00000005156	3980	LIG3	protein_coding	HGNC Symbol	16	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	-0.11	-0.25	0.02	0.10	0.30	-0.16	-0.30	-0.02	0.02	0.05	-0.14	-0.29	0.02	0.08	0.12	-0.19	-0.30	-0.07	0.00	0.00	
ENSG00000005175	79657	RPAP3	protein_coding	HGNC Symbol	7	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	0.21	0.08	0.35	0.00	0.03	0.02	-0.12	0.15	0.81	0.87	0.12	-0.04	0.27	0.14	0.19	-0.08	-0.19	0.03	0.16	0.20	
ENSG00000005187	6296	ACSM3	protein_coding	HGNC Symbol	15	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	0.28	-0.23	0.80	0.27	0.52	-0.56	-1.62	0.49	0.28	0.40	-2.79	-3.70	-1.88	0.00	0.00	-3.64	-4.38	-2.89	0.00	0.00	
ENSG00000005189	81691	REXO5	protein_coding	HGNC Symbol	19	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	0.04	-0.23	0.32	0.75	0.89	0.49	0.25	0.73	0.00	0.00	0.44	0.14	0.74	0.01	0.01	0.89	0.68	1.09	0.00	0.00	
ENSG00000005194	57019	CIAPIN1	protein_coding	HGNC Symbol	15	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	0.03	-0.14	0.21	0.69	0.86	0.05	-0.13	0.22	0.60	0.70	0.33	0.13	0.53	0.00	0.01	0.34	0.19	0.48	0.00	0.00	
ENSG00000005206	56928	SPPL2B	protein_coding	HGNC Symbol	14	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]	-0.12	-0.36	0.13	0.35	0.61	-0.16	-0.40	0.08	0.19	0.30	0.56	0.28	0.84	0.00	0.00	0.51	0.31	0.72	0.00	0.00	
ENSG00000005238	80256	FAM214B	protein_coding	HGNC Symbol	9	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]	0.16	-0.14	0.45	0.28	0.54	0.02	-0.20	0.24	0.85	0.89	1.58	1.29	1.88	0.00	0.00	1.45	1.24	1.66	0.00	0.00	
ENSG00000005249	5577	PRKAR2B	protein_coding	HGNC Symbol	3	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	-0.03	-0.22	0.17	0.76	0.90	-0.45	-0.65	-0.25	0.00	0.00	0.05	-0.17	0.28	0.63	0.69	-0.36	-0.53	-0.20	0.00	0.00	
ENSG00000005302	10943	MSL3	protein_coding	HGNC Symbol	17	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	0.17	-0.04	0.38	0.10	0.31	0.12	-0.06	0.29	0.18	0.29	1.00	0.77	1.22	0.00	0.00	0.94	0.78	1.10	0.00	0.00	
ENSG00000005339	1387	CREBBP	protein_coding	HGNC Symbol	20	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	0.01	-0.35	0.37	0.97	0.99	-0.31	-0.68	0.06	0.09	0.17	0.37	-0.04	0.79	0.07	0.11	0.06	-0.24	0.36	0.70	0.74	
